entry_id,lemma,difficulty,suggested_difficulty,delta,reason
6,가건물,0.7325,0.3,-0.4325,"표제어 '가건물'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
8,가겟집,0.97,0.45,-0.52,"표제어 '가겟집'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
21,가공식품,0.7325,0.3,-0.4325,"표제어 '가공식품'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
23,가공유,0.97,0.5,-0.47,"표제어 '가공유'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
31,가구상,0.97,0.45,-0.52,"표제어 '가구상'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
32,가구점,0.7325,0.25,-0.4825,"표제어 '가구점'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
43,가끔가다가,0.95,0.35,-0.6,"표제어 '가끔가다가'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
75,가드레일,1,0.5,-0.5,"표제어 '가드레일'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
89,가락국수,0.95,0.45,-0.5,"표제어 '가락국수'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
90,가락지,0.97,0.45,-0.52,"표제어 '가락지'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
93,가랑잎,0.7125,0.3,-0.4125,"표제어 '가랑잎'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
98,가래침,0.97,0.5,-0.47,"표제어 '가래침'의 정의는 구체적인 사물, 장소, 음식, 신체 부위, 감각 경험이나 일상 동작을 가리켜 원래 점수보다 체감 난도가 낮다."
